customer_id,persona,recency_days,total_visits,total_spend,avg_ticket_price,pct_weekend_visits,pct_evening_visits,gv_plus_member,favourite_genre,preferred_location
GV000001,Premium Experience Seekers,61,4,71.28,17.82,0.65,0.384,0,Thriller,Kallang Leisure Park
GV000002,Premium Experience Seekers,17,9,463.11,51.46,0.434,0.872,0,Action,Tampines
GV000003,Casual Occasionals,169,2,34.82,17.41,0.48,0.675,0,Drama,Jurong Point
GV000004,Premium Experience Seekers,83,1,12.15,12.15,0.478,0.616,0,Sci-Fi,Paya Lebar
GV000005,Blockbuster Weekend Warriors,9,21,548.86,26.14,0.719,0.766,1,Thriller,Jurong Point
GV000006,Casual Occasionals,195,2,29.83,14.91,0.491,0.442,0,Drama,Paya Lebar
GV000007,Blockbuster Weekend Warriors,15,23,641.18,27.88,0.963,0.84,1,Thriller,Bishan
GV000008,Casual Occasionals,11,5,326.6,65.32,0.545,0.775,0,Drama,Bishan
GV000009,Blockbuster Weekend Warriors,4,38,921.2,24.24,0.789,0.793,1,Action,JEM
GV000010,Premium Experience Seekers,191,1,14.93,14.93,0.427,0.608,1,Romance,Yishun
GV000011,Blockbuster Weekend Warriors,26,28,655.9,23.42,0.881,0.948,1,Sci-Fi,Jurong Point
GV000012,Blockbuster Weekend Warriors,21,10,558.91,55.89,0.503,0.727,1,Thriller,Vivocity
GV000013,Blockbuster Weekend Warriors,2,36,796.36,22.12,0.779,0.769,1,Thriller,Jurong Point
GV000014,Lapsed Loyalists,193,14,278.0,19.86,0.791,0.693,0,Horror,JEM
GV000015,Premium Experience Seekers,234,14,256.64,18.33,0.668,0.698,0,Sci-Fi,JEM
GV000016,Premium Experience Seekers,32,6,383.32,63.89,0.446,0.576,1,Thriller,Paya Lebar
GV000017,Premium Experience Seekers,238,10,203.92,20.39,0.629,0.737,0,Comedy,Bishan
GV000018,Casual Occasionals,198,6,74.06,12.34,0.582,0.534,0,Drama,JEM
GV000019,Blockbuster Weekend Warriors,32,7,518.87,74.12,0.512,0.729,1,Action,Kallang Leisure Park
GV000020,Blockbuster Weekend Warriors,9,27,746.02,27.63,0.941,0.98,1,Thriller,Vivocity
GV000021,Blockbuster Weekend Warriors,17,32,919.6,28.74,0.972,0.829,1,Sci-Fi,Bishan
GV000022,Premium Experience Seekers,116,2,31.37,15.69,0.614,0.321,0,Action,Bishan
GV000023,Blockbuster Weekend Warriors,8,26,666.87,25.65,0.881,0.775,1,Thriller,JEM
